Date,index,compound,BP
2003-11-03,2172.0,0.7269,17.898668
2003-11-04,2180.0,-0.6249,17.932379
2003-11-05,2186.0,0.0,17.949238
2003-11-06,2191.0,-0.6486,17.915526999999997
2003-11-07,2195.0,0.0,18.029312
2003-11-08,2207.0,0.5719,18.029312
2003-11-09,2208.0,0.0,18.029312
2003-11-10,2209.0,-0.6369,17.945026000000002
2003-11-11,2219.0,0.0772,17.953457
2003-11-12,2229.0,0.0,18.137814000000002
2003-11-13,2234.0,0.0,18.095238000000002
2003-11-14,2238.0,0.0,18.269796
2003-11-15,2248.0,-0.6705,18.269796
2003-11-16,2254.0,0.0,18.269796
2003-11-17,2265.0,0.0,18.125035999999998
2003-11-18,2281.0,0.4404,17.929185999999998
2003-11-19,2288.0,-0.25,18.095238000000002
2003-11-20,2297.0,-0.4939,18.180391
2003-11-21,2308.0,0.0,18.137814000000002
2003-11-22,2324.0,-0.3818,18.137814000000002
2003-11-23,2330.0,0.4215,18.137814000000002
2003-11-24,2337.0,0.3818,18.286829
2003-11-25,2351.0,0.0,18.137814000000002
2003-11-26,2358.0,0.5859,18.261288
2003-11-27,2367.0,0.0,18.261288
2003-11-28,2369.0,0.0,18.17613
2003-11-29,2370.0,0.0,18.17613
2003-11-30,2371.0,0.0,18.17613
2003-12-01,2375.0,0.0,18.393276
2003-12-02,2385.0,0.0,18.299603
2003-12-03,2397.0,0.0,18.393276
2003-12-04,2409.0,-0.29600000000000004,18.597641
2003-12-05,2419.0,-0.5994,18.563579999999998
2003-12-06,2430.0,-0.1779,18.563579999999998
2003-12-07,2439.0,0.0,18.563579999999998
2003-12-08,2441.0,0.0,18.904198
2003-12-09,2449.0,0.1531,19.189460999999998
2003-12-10,2455.0,-0.6249,19.253334
2003-12-11,2470.0,-0.4215,19.457698999999998
2003-12-12,2483.0,0.0,19.734442
2003-12-13,2497.0,0.2263,19.734442
2003-12-14,2500.0,0.0,19.734442
2003-12-15,2502.0,-0.7579,19.415127
2003-12-16,2511.0,-0.5423,19.51305
2003-12-17,2521.0,-0.1531,20.045258999999998
2003-12-18,2526.0,0.4215,20.509352
2003-12-19,2529.0,0.4019,20.620060000000002
2003-12-20,2534.0,-0.2732,20.620060000000002
2003-12-21,2539.0,-0.5423,20.620060000000002
2003-12-22,2541.0,-0.7184,20.607285
2003-12-23,2551.0,0.5574,20.479551
2003-12-24,2559.0,-0.0258,20.632816000000002
2003-12-25,2565.0,-0.5994,20.632816000000002
2003-12-26,2570.0,-0.6705,20.764822
2003-12-27,2576.0,-0.6486,20.764822
2003-12-28,2581.0,-0.5423,20.764822
2003-12-29,2585.0,0.0,20.849976
2003-12-30,2589.0,0.5423,20.896811
2003-12-31,2598.0,-0.29600000000000004,21.011765
2004-01-01,2609.0,0.4019,21.011765
2004-01-02,2611.0,0.0,21.033045
2004-01-03,2623.0,-0.5423,21.033045
2004-01-04,2632.0,0.0,21.033045
2004-01-05,2635.0,0.0,21.245934
2004-01-06,2643.0,-0.25,21.382189
2004-01-07,2652.0,0.0,20.871257999999997
2004-01-08,2661.0,-0.6705,20.892551
2004-01-09,2674.0,-0.4939,20.896811
2004-01-10,2684.0,0.0,20.896811
2004-01-11,2691.0,-0.6908,20.896811
2004-01-12,2693.0,-0.4767,21.148006
2004-01-13,2707.0,0.5423,21.033045
2004-01-14,2718.0,0.0,20.692429
2004-01-15,2726.0,0.0,20.543419
2004-01-16,2735.0,0.0772,20.441233
2004-01-17,2749.0,0.0516,20.441233
2004-01-18,2757.0,-0.4215,20.441233
2004-01-19,2764.0,-0.1027,20.441233
2004-01-20,2772.0,0.5719,20.760555
2004-01-21,2781.0,0.0,21.280005
2004-01-22,2796.0,0.0,21.126720000000002
